order_id,transaction_id,expected_status,expected_difference,notes
ORD-1001,TXN-2001,MATCHED,0.0,Scenario: MATCHED
ORD-1002,TXN-2002,MATCHED_WITH_TOLERANCE,7.5,Minor settlement delta of ₹7.5 (within ₹10 tolerance)
ORD-1003,TXN-2003,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1004,TXN-2004,DATE_MISMATCH,0.0,Settlement timestamp is recorded before payment capture timestamp
ORD-1005,TXN-2005,AMOUNT_MISMATCH,2500.0,Under-settlement discrepancy of ₹2500.0
ORD-1006,TXN-2006,MATCHED,0.0,Scenario: MATCHED
ORD-1007,TXN-2007,AMOUNT_MISMATCH,2500.0,Under-settlement discrepancy of ₹2500.0
ORD-1008,TXN-2008,AMOUNT_MISMATCH,750.0,Under-settlement discrepancy of ₹750.0
ORD-1009,TXN-2009,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1010,TXN-DUP-2001,DUPLICATE,0.0,Duplicate transaction instance A
ORD-1011,TXN-2011,MATCHED,0.0,Scenario: MATCHED
ORD-1012,TXN-2012,MATCHED_WITH_TOLERANCE,7.5,Minor settlement delta of ₹7.5 (within ₹10 tolerance)
ORD-1013,TXN-2013,AMOUNT_MISMATCH,2500.0,Under-settlement discrepancy of ₹2500.0
ORD-1014,TXN-2014,MATCHED,0.0,Scenario: MATCHED
ORD-1015,TXN-2015,MATCHED,0.0,Scenario: MATCHED
ORD-1016,TXN-2016,MATCHED,0.0,Scenario: MATCHED
ORD-1017,TXN-2017,MATCHED_WITH_TOLERANCE,2.5,Minor settlement delta of ₹2.5 (within ₹10 tolerance)
ORD-1018,TXN-2018,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1019,TXN-2019,MATCHED,0.0,Scenario: MATCHED
ORD-1020,TXN-2020,MATCHED,0.0,Scenario: MATCHED
ORD-1021,TXN-2021,MATCHED,0.0,Scenario: MATCHED
ORD-1022,TXN-2022,MATCHED,0.0,Scenario: MATCHED
ORD-1023,TXN-2023,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1024,TXN-DUP-2001,DUPLICATE,0.0,Duplicate transaction instance B (collision)
ORD-1025,TXN-2025,MATCHED,0.0,Scenario: MATCHED
ORD-1026,TXN-2026,MATCHED,0.0,Scenario: MATCHED
ORD-1027,TXN-2027,MATCHED_WITH_TOLERANCE,7.5,Minor settlement delta of ₹7.5 (within ₹10 tolerance)
ORD-1028,TXN-2028,MATCHED,0.0,Scenario: MATCHED
ORD-1029,TXN-2029,MATCHED,0.0,Scenario: MATCHED
ORD-1030,TXN-2030,MATCHED_WITH_TOLERANCE,9.0,Minor settlement delta of ₹9.0 (within ₹10 tolerance)
ORD-1031,TXN-2031,MATCHED,0.0,Scenario: MATCHED
ORD-1032,TXN-2032,MATCHED,0.0,Scenario: MATCHED
ORD-1033,TXN-2033,MATCHED,0.0,Scenario: MATCHED
ORD-1034,TXN-2034,MATCHED,0.0,Scenario: MATCHED
ORD-1035,TXN-2035,MATCHED,0.0,Scenario: MATCHED
ORD-1036,TXN-2036,MATCHED,0.0,Scenario: MATCHED
ORD-1037,TXN-2037,MATCHED,0.0,Scenario: MATCHED
ORD-1038,TXN-2038,MATCHED,0.0,Scenario: MATCHED
ORD-1039,TXN-2039,MATCHED,0.0,Scenario: MATCHED
ORD-1040,TXN-2040,MATCHED,0.0,Scenario: MATCHED
ORD-1041,TXN-2041,MATCHED,0.0,Scenario: MATCHED
ORD-1042,TXN-2042,MATCHED,0.0,Scenario: MATCHED
ORD-1043,TXN-2043,MATCHED_WITH_TOLERANCE,9.0,Minor settlement delta of ₹9.0 (within ₹10 tolerance)
ORD-1044,TXN-2044,MATCHED,0.0,Scenario: MATCHED
ORD-1045,TXN-2045,MATCHED,0.0,Scenario: MATCHED
ORD-1046,TXN-2046,MATCHED,0.0,Scenario: MATCHED
ORD-1047,TXN-2047,MATCHED,0.0,Scenario: MATCHED
ORD-1048,TXN-2048,MATCHED,0.0,Scenario: MATCHED
ORD-1049,TXN-2049,MISSING_PAYMENT,0.0,Order created but payment gateway webhook dropped/missing
ORD-1050,TXN-2050,DATE_MISMATCH,0.0,Settlement timestamp is recorded before payment capture timestamp
