transaction_id,order_id,payment_date,paid_amount,payment_status,payment_method
TXN-2001,ORD-1001,2026-09-02 10:49:00,8750.0,SUCCESS,NETBANKING
TXN-2002,ORD-1002,2026-09-03 11:40:00,15999.0,SUCCESS,CREDIT_CARD
TXN-2004,ORD-1004,2026-09-05 13:23:00,49990.0,SUCCESS,DEBIT_CARD
TXN-2005,ORD-1005,2026-09-06 15:01:00,1250.0,SUCCESS,NETBANKING
TXN-2006,ORD-1006,2026-09-07 15:33:00,1250.0,SUCCESS,UPI
 txn-2007 , ORD-1007 ,2026-09-08 16:51:00,2499.0,SUCCESS,CREDIT_CARD
TXN-2008,ORD-1008,2026-09-09 09:03:00,12500.0,SUCCESS,DEBIT_CARD
TXN-DUP-2001,ORD-1010,2026-09-11 11:50:00,25000.0,SUCCESS,CREDIT_CARD
TXN-2011,ORD-1011,2026-09-12 13:08:00,3200.0,SUCCESS,NETBANKING
TXN-2012,ORD-1012,2026-09-13 13:31:00,3200.0,SUCCESS,NETBANKING
TXN-2013,ORD-1013,2026-09-14 14:22:00,2499.0,SUCCESS,CREDIT_CARD
 txn-2014 , ORD-1014 ,2026-09-15 15:16:00,12500.0,SUCCESS,CREDIT_CARD
TXN-2015,ORD-1015,2026-09-01 16:13:00,799.0,SUCCESS,UPI
TXN-2016,ORD-1016,2026-09-02 09:37:00,15999.0,SUCCESS,NETBANKING
TXN-2017,ORD-1017,2026-09-03 10:58:00,6450.0,SUCCESS,CREDIT_CARD
TXN-2019,ORD-1019,2026-09-05 12:37:00,349.0,SUCCESS,UPI
TXN-2020,ORD-1020,2026-09-06 13:42:00,2499.0,SUCCESS,CREDIT_CARD
 txn-2021 , ORD-1021 ,2026-09-07 14:29:00,1250.0,SUCCESS,DEBIT_CARD
TXN-2022,ORD-1022,2026-09-08 15:50:00,25000.0,SUCCESS,UPI
TXN-DUP-2001,ORD-1024,2026-09-10 09:17:00,34999.0,SUCCESS,NETBANKING
TXN-2025,ORD-1025,2026-09-11 10:39:00,3200.0,SUCCESS,NETBANKING
TXN-2026,ORD-1026,2026-09-12 11:17:00,18500.0,SUCCESS,NETBANKING
TXN-2027,ORD-1027,2026-09-13 12:04:00,12500.0,SUCCESS,UPI
 txn-2028 , ORD-1028 ,2026-09-14 13:34:00,49990.0,SUCCESS,CREDIT_CARD
TXN-2029,ORD-1029,2026-09-15 14:27:00,12500.0,SUCCESS,UPI
TXN-2030,ORD-1030,2026-09-01 15:12:00,12500.0,SUCCESS,UPI
TXN-2031,ORD-1031,2026-09-02 16:54:00,4800.0,SUCCESS,DEBIT_CARD
TXN-2032,ORD-1032,2026-09-03 09:53:00,3200.0,SUCCESS,NETBANKING
TXN-2033,ORD-1033,2026-09-04 10:39:00,4800.0,SUCCESS,UPI
TXN-2034,ORD-1034,2026-09-05 11:19:00,799.0,SUCCESS,CREDIT_CARD
 txn-2035 , ORD-1035 ,2026-09-06 12:21:00,49990.0,SUCCESS,CREDIT_CARD
TXN-2036,ORD-1036,2026-09-07 14:02:00,18500.0,SUCCESS,DEBIT_CARD
TXN-2037,ORD-1037,2026-09-08 14:21:00,15999.0,SUCCESS,DEBIT_CARD
TXN-2038,ORD-1038,2026-09-09 15:14:00,799.0,SUCCESS,UPI
TXN-2039,ORD-1039,2026-09-10 16:54:00,2499.0,SUCCESS,DEBIT_CARD
TXN-2040,ORD-1040,2026-09-11 09:16:00,6450.0,SUCCESS,DEBIT_CARD
TXN-2041,ORD-1041,2026-09-12 10:52:00,349.0,SUCCESS,UPI
 txn-2042 , ORD-1042 ,2026-09-13 11:52:00,18500.0,SUCCESS,NETBANKING
TXN-2043,ORD-1043,2026-09-14 12:35:00,799.0,SUCCESS,UPI
TXN-2044,ORD-1044,2026-09-15 13:07:00,1250.0,SUCCESS,NETBANKING
TXN-2045,ORD-1045,2026-09-01 14:47:00,49990.0,SUCCESS,DEBIT_CARD
TXN-2046,ORD-1046,2026-09-02 15:50:00,25000.0,SUCCESS,NETBANKING
TXN-2047,ORD-1047,2026-09-03 16:04:00,25000.0,SUCCESS,CREDIT_CARD
TXN-2048,ORD-1048,2026-09-04 09:23:00,25000.0,SUCCESS,CREDIT_CARD
TXN-2050,ORD-1050,2026-09-06 11:12:00,3200.0,SUCCESS,CREDIT_CARD
TXN-2051,ORD-1051,2026-09-07 12:54:00,4800.0,SUCCESS,DEBIT_CARD
TXN-2052,ORD-1052,2026-09-08 13:22:00,8750.0,SUCCESS,NETBANKING
TXN-2053,ORD-1053,2026-09-09 14:16:00,1250.0,SUCCESS,DEBIT_CARD
TXN-2054,ORD-1054,2026-09-10 15:47:00,18500.0,SUCCESS,DEBIT_CARD
TXN-2055,ORD-1055,2026-09-11 16:52:00,2499.0,SUCCESS,DEBIT_CARD
 txn-2056 , ORD-1056 ,2026-09-12 09:29:00,49990.0,SUCCESS,CREDIT_CARD
TXN-2057,ORD-1057,2026-09-13 10:37:00,2400.0,PARTIAL,UPI
TXN-2058,ORD-1058,2026-09-14 11:12:00,5000.0,SUCCESS,DEBIT_CARD
TXN-2059,ORD-1059,2026-09-15 12:41:00,5000.0,SUCCESS,CREDIT_CARD
TXN-2060,ORD-1060,2026-09-01 13:22:00,34999.0,SUCCESS,UPI
TXN-2061,ORD-1061,2026-09-02 14:36:00,12500.0,SUCCESS,DEBIT_CARD
TXN-2062,ORD-1062,2026-09-03 15:10:00,6450.0,SUCCESS,CREDIT_CARD
 txn-2063 , ORD-1063 ,2026-09-04 17:05:00,15999.0,SUCCESS,DEBIT_CARD
TXN-2064,ORD-1064,2026-09-05 09:10:00,3200.0,SUCCESS,CREDIT_CARD
TXN-2065,ORD-1065,2026-09-06 10:41:00,6450.0,SUCCESS,UPI
TXN-2066,ORD-1066,2026-09-07 11:29:00,18500.0,SUCCESS,NETBANKING
TXN-2067,ORD-1067,2026-09-08 12:56:00,18500.0,SUCCESS,UPI
TXN-2068,ORD-1068,2026-09-09 13:39:00,25000.0,SUCCESS,NETBANKING
TXN-2069,ORD-1069,2026-09-10 14:42:00,1250.0,SUCCESS,NETBANKING
 txn-2070 , ORD-1070 ,2026-09-11 16:04:00,25000.0,SUCCESS,NETBANKING
TXN-2071,ORD-1071,2026-09-12 17:01:00,34999.0,SUCCESS,NETBANKING
TXN-2072,ORD-1072,2026-09-13 09:30:00,3200.0,SUCCESS,CREDIT_CARD
TXN-2073,ORD-1073,2026-09-14 10:30:00,15999.0,SUCCESS,CREDIT_CARD
TXN-2074,ORD-1074,2026-09-15 12:06:00,3200.0,SUCCESS,DEBIT_CARD
TXN-2075,ORD-1075,2026-09-01 12:47:00,1250.0,SUCCESS,CREDIT_CARD
TXN-2076,ORD-1076,2026-09-02 13:42:00,5000.0,SUCCESS,NETBANKING
TXN-DUP-2003, ORD-1077 ,2026-09-03 15:10:00,2499.0,SUCCESS,NETBANKING
TXN-2078,ORD-1078,2026-09-04 15:06:00,174.5,PARTIAL,NETBANKING
TXN-2080,ORD-1080,2026-09-06 09:19:00,49990.0,SUCCESS,CREDIT_CARD
TXN-2081,ORD-1081,2026-09-07 10:53:00,349.0,SUCCESS,NETBANKING
TXN-2082,ORD-1082,2026-09-08 11:35:00,49990.0,SUCCESS,CREDIT_CARD
TXN-2083,ORD-1083,2026-09-09 12:48:00,12500.0,SUCCESS,UPI
