settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
STL-3001,TXN-2001,2026-09-03 12:49:00,8750.0,SETTLED,HDFC22201654
STL-3002,TXN-2002,2026-09-04 16:40:00,15991.5,SETTLED,HDFC66661351
STL-3004,TXN-2004,2026-09-03 13:23:00,49990.0,SETTLED,HDFC96028436
STL-3005,TXN-2005,2026-09-07 19:01:00,-1250.0,SETTLED,HDFC10435578
STL-3006,TXN-2006,2026-09-08 21:33:00,1250.0,SETTLED,HDFC93926371
STL-3007, txn-2007 ,2026-09-09 22:51:00,-1.0,SETTLED,HDFC60185867
STL-3008,TXN-2008,2026-09-10 13:03:00,11750.0,SETTLED,HDFC75579548
STL-3010,TXN-DUP-2001,2026-09-12 17:50:00,25000.0,SETTLED,HDFC27232410
STL-3011,TXN-2011,2026-09-13 16:08:00,3200.0,SETTLED,HDFC38427073
STL-3012,TXN-2012,2026-09-14 19:31:00,3192.5,SETTLED,HDFC97225156
STL-3013,TXN-2013,2026-09-15 20:22:00,-1.0,SETTLED,HDFC18593410
STL-3014, txn-2014 ,2026-09-16 17:16:00,12500.0,SETTLED,HDFC10965138
STL-3015,TXN-2015,2026-09-02 19:13:00,799.0,SETTLED,HDFC54349361
STL-3016,TXN-2016,2026-09-03 15:37:00,15999.0,SETTLED,HDFC38754377
STL-3017,TXN-2017,2026-09-04 13:58:00,6447.5,SETTLED,HDFC73481353
STL-3019,TXN-2019,2026-09-06 16:37:00,349.0,SETTLED,HDFC18135295
STL-3020,TXN-2020,2026-09-07 16:42:00,2499.0,SETTLED,HDFC35529407
STL-3021, txn-2021 ,2026-09-08 16:29:00,1250.0,SETTLED,HDFC72092888
STL-3022,TXN-2022,2026-09-09 17:50:00,25000.0,SETTLED,HDFC16789850
STL-3024,TXN-DUP-2001,2026-09-11 11:17:00,34999.0,SETTLED,HDFC17869910
STL-3025,TXN-2025,2026-09-12 16:39:00,3200.0,SETTLED,HDFC48285503
STL-3026,TXN-2026,2026-09-13 14:17:00,18500.0,SETTLED,HDFC30776478
STL-3027,TXN-2027,2026-09-14 18:04:00,12492.5,SETTLED,HDFC52091325
STL-3028, txn-2028 ,2026-09-15 16:34:00,49990.0,SETTLED,HDFC17634247
STL-3029,TXN-2029,2026-09-16 20:27:00,12500.0,SETTLED,HDFC41568532
STL-3030,TXN-2030,2026-09-02 21:12:00,12491.0,SETTLED,HDFC93131979
STL-3031,TXN-2031,2026-09-03 20:54:00,4800.0,SETTLED,HDFC37415205
STL-3032,TXN-2032,2026-09-04 13:53:00,3200.0,SETTLED,HDFC27566185
STL-3033,TXN-2033,2026-09-05 16:39:00,4800.0,SETTLED,HDFC11250299
STL-3034,TXN-2034,2026-09-06 15:19:00,799.0,SETTLED,HDFC77898694
STL-3035, txn-2035 ,2026-09-07 17:21:00,49990.0,SETTLED,HDFC59597086
STL-3036,TXN-2036,2026-09-08 20:02:00,18500.0,SETTLED,HDFC92097999
