order_id,transaction_id,settlement_id,expected_status,expected_variance
ORD-5001,TXN-6001,STL-7001,MATCHED,0.0
ORD-5002,TXN-6002,STL-7002,MATCHED,0.0
ORD-5003,TXN-6003,,MISSING_SETTLEMENT,24999.0
ORD-5004,TXN-6004,STL-7004,MATCHED,0.0
ORD-5005,TXN-6005,STL-7005,MATCHED,0.0
ORD-5006,TXN-6006,STL-7006,AMOUNT_MISMATCH,117.98
ORD-5007,TXN-6007,STL-7007,MATCHED,0.0
ORD-5008,TXN-6008,STL-7008,AMOUNT_MISMATCH,589.98
ORD-5009,TXN-6009,STL-7009,MATCHED,0.0
ORD-5010,TXN-6010,STL-7010,MATCHED,0.0
ORD-5011,,,MISSING_PAYMENT,12499.0
ORD-5012,TXN-6012,,MISSING_SETTLEMENT,8990.0
ORD-5013,TXN-6013,STL-7013,MATCHED,0.0
ORD-5014,TXN-6014,STL-7014,MATCHED,0.0
ORD-5015,TXN-6015,STL-7015,MATCHED,0.0
ORD-5016,,,MISSING_PAYMENT,8990.0
ORD-5017,TXN-6017,STL-7017,MATCHED,0.0
ORD-5018,TXN-6018,STL-7018,MATCHED,0.0
ORD-5019,TXN-6019,STL-7019,MATCHED,0.0
ORD-5020,TXN-6020,STL-7020,MATCHED,0.0
ORD-5021,TXN-6021,STL-7021,MATCHED,0.0
ORD-5022,TXN-6022,STL-7022,MATCHED,0.0
ORD-5023,TXN-6023,STL-7023,AMOUNT_MISMATCH,448.38
ORD-5024,TXN-6024,STL-7024,MATCHED,0.0
ORD-5025,TXN-6025,STL-7025,AMOUNT_MISMATCH,35.38
ORD-5026,TXN-6026,STL-7026,MATCHED,0.0
ORD-5027,TXN-6027,STL-7027,MATCHED,0.0
ORD-5028,TXN-6028,STL-7028,MATCHED,0.0
ORD-5029,TXN-6029,STL-7029,AMOUNT_MISMATCH,589.98
ORD-5030,TXN-6030,STL-7030,MATCHED,0.0
ORD-5031,TXN-6031,STL-7031,MATCHED,0.0
ORD-5032,TXN-6032,STL-7032,MATCHED,0.0
ORD-5033,TXN-6033,STL-7033,MATCHED,0.0
ORD-5034,TXN-6034,STL-7034,MATCHED,0.0
ORD-5035,TXN-6035,,MISSING_SETTLEMENT,24999.0
ORD-5036,,,MISSING_PAYMENT,8990.0
ORD-5037,TXN-6037,STL-7037,MATCHED,0.0
ORD-5038,TXN-6038,STL-7038,MATCHED,0.0
ORD-5039,TXN-6039,STL-7039,MATCHED,0.0
ORD-5040,TXN-6040,STL-7040,MATCHED,0.0
ORD-5041,TXN-6041,STL-7041,MATCHED,0.0
ORD-5042,TXN-6042,STL-7042,MATCHED,0.0
ORD-5043,TXN-6043,STL-7043,MATCHED,0.0
ORD-5044,,,MISSING_PAYMENT,12499.0
ORD-5045,TXN-6045,STL-7045,MATCHED,0.0
ORD-5046,TXN-6046,STL-7046,AMOUNT_MISMATCH,35.38
ORD-5047,TXN-6047,STL-7047,AMOUNT_MISMATCH,212.16
ORD-5048,TXN-6048,STL-7048,MATCHED,0.0
ORD-5049,TXN-6049,STL-7049,MATCHED,0.0
ORD-5050,TXN-6050,STL-7050,MATCHED,0.0
