transaction_id,order_id,payment_date,paid_amount,payment_status,payment_method
TXN-6001,ORD-5001,2026-09-03 09:21:00,24999.0,SUCCESS,NETBANKING
TXN-6002,ORD-5002,2026-09-03 09:39:00,1499.0,SUCCESS,UPI
TXN-6003,ORD-5003,2026-09-03 09:56:00,24999.0,SUCCESS,UPI
TXN-6004,ORD-5004,2026-09-03 10:15:00,49990.0,SUCCESS,UPI
TXN-6005,ORD-5005,2026-09-03 10:33:00,49990.0,SUCCESS,WALLET
TXN-6006,ORD-5006,2026-09-03 10:52:00,4999.0,SUCCESS,CARD
TXN-6007,ORD-5007,2026-09-03 11:09:00,4999.0,SUCCESS,WALLET
TXN-6008,ORD-5008,2026-09-03 11:28:00,24999.0,SUCCESS,CARD
TXN-6009,ORD-5009,2026-09-03 11:45:00,4999.0,SUCCESS,NETBANKING
TXN-6010,ORD-5010,2026-09-03 12:03:00,24999.0,SUCCESS,WALLET
TXN-6012,ORD-5012,2026-09-03 12:38:00,8990.0,SUCCESS,UPI
TXN-6013,ORD-5013,2026-09-03 12:57:00,4999.0,SUCCESS,WALLET
TXN-6014,ORD-5014,2026-09-03 13:15:00,49990.0,SUCCESS,NETBANKING
TXN-6015,ORD-5015,2026-09-03 13:33:00,8990.0,SUCCESS,CARD
TXN-6017,ORD-5017,2026-09-03 14:09:00,12499.0,SUCCESS,UPI
TXN-6018,ORD-5018,2026-09-03 14:27:00,2499.0,SUCCESS,WALLET
TXN-6019,ORD-5019,2026-09-03 14:45:00,8990.0,SUCCESS,WALLET
TXN-6020,ORD-5020,2026-09-03 15:03:00,8990.0,SUCCESS,CARD
TXN-6021,ORD-5021,2026-09-03 15:21:00,12499.0,SUCCESS,UPI
TXN-6022,ORD-5022,2026-09-03 15:39:00,18999.0,SUCCESS,CARD
TXN-6023,ORD-5023,2026-09-03 15:58:00,18999.0,SUCCESS,CARD
TXN-6024,ORD-5024,2026-09-03 16:15:00,2499.0,SUCCESS,UPI
TXN-6025,ORD-5025,2026-09-03 16:34:00,1499.0,SUCCESS,CARD
TXN-6026,ORD-5026,2026-09-03 16:51:00,8990.0,SUCCESS,UPI
TXN-6027,ORD-5027,2026-09-03 17:09:00,2499.0,SUCCESS,UPI
TXN-6028,ORD-5028,2026-09-03 17:27:00,12499.0,SUCCESS,UPI
TXN-6029,ORD-5029,2026-09-03 17:46:00,24999.0,SUCCESS,CARD
TXN-6030,ORD-5030,2026-09-03 18:03:00,8990.0,SUCCESS,UPI
TXN-6031,ORD-5031,2026-09-03 18:21:00,4999.0,SUCCESS,WALLET
TXN-6032,ORD-5032,2026-09-03 18:39:00,24999.0,SUCCESS,UPI
TXN-6033,ORD-5033,2026-09-03 18:57:00,2499.0,SUCCESS,WALLET
TXN-6034,ORD-5034,2026-09-03 19:15:00,18999.0,SUCCESS,WALLET
TXN-6035,ORD-5035,2026-09-03 19:32:00,24999.0,SUCCESS,UPI
TXN-6037,ORD-5037,2026-09-03 20:09:00,24999.0,SUCCESS,NETBANKING
TXN-6038,ORD-5038,2026-09-03 20:27:00,1499.0,SUCCESS,NETBANKING
TXN-6039,ORD-5039,2026-09-03 20:45:00,24999.0,SUCCESS,WALLET
TXN-6040,ORD-5040,2026-09-03 21:03:00,18999.0,SUCCESS,WALLET
TXN-6041,ORD-5041,2026-09-03 21:21:00,12499.0,SUCCESS,UPI
TXN-6042,ORD-5042,2026-09-03 21:39:00,18999.0,SUCCESS,NETBANKING
TXN-6043,ORD-5043,2026-09-03 21:57:00,12499.0,SUCCESS,WALLET
TXN-6045,ORD-5045,2026-09-03 22:33:00,1499.0,SUCCESS,NETBANKING
TXN-6046,ORD-5046,2026-09-03 22:52:00,1499.0,SUCCESS,CARD
TXN-6047,ORD-5047,2026-09-03 23:10:00,8990.0,SUCCESS,CARD
TXN-6048,ORD-5048,2026-09-03 23:27:00,1499.0,SUCCESS,WALLET
TXN-6049,ORD-5049,2026-09-03 23:45:00,18999.0,SUCCESS,UPI
TXN-6050,ORD-5050,2026-09-04 00:03:00,18999.0,SUCCESS,WALLET
