settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
STL-7001,TXN-6001,2026-09-04 09:18:00,24999.0,SETTLED,HDFC50020446
STL-7002,TXN-6002,2026-09-04 09:36:00,1499.0,SETTLED,HDFC32822981
STL-7004,TXN-6004,2026-09-04 10:12:00,49990.0,SETTLED,HDFC58458266
STL-7005,TXN-6005,2026-09-04 10:30:00,49990.0,SETTLED,HDFC98728296
STL-7006,TXN-6006,2026-09-04 10:48:00,4881.02,SETTLED,ICICI97312782
STL-7007,TXN-6007,2026-09-04 11:06:00,4999.0,SETTLED,HDFC70740576
STL-7008,TXN-6008,2026-09-04 11:24:00,24409.02,SETTLED,ICICI54205826
STL-7009,TXN-6009,2026-09-04 11:42:00,4999.0,SETTLED,HDFC61592078
STL-7010,TXN-6010,2026-09-04 12:00:00,24999.0,SETTLED,HDFC70034393
STL-7013,TXN-6013,2026-09-04 12:54:00,4999.0,SETTLED,HDFC71084350
STL-7014,TXN-6014,2026-09-04 13:12:00,49990.0,SETTLED,HDFC84267271
STL-7015,TXN-6015,2026-09-04 13:30:00,8990.0,SETTLED,HDFC17131974
STL-7017,TXN-6017,2026-09-04 14:06:00,12499.0,SETTLED,HDFC53599803
STL-7018,TXN-6018,2026-09-04 14:24:00,2499.0,SETTLED,HDFC18369115
STL-7019,TXN-6019,2026-09-04 14:42:00,8990.0,SETTLED,HDFC47342653
STL-7020,TXN-6020,2026-09-04 15:00:00,8990.0,SETTLED,HDFC18557563
STL-7021,TXN-6021,2026-09-04 15:18:00,12499.0,SETTLED,HDFC64083802
STL-7022,TXN-6022,2026-09-04 15:36:00,18999.0,SETTLED,HDFC18208586
STL-7023,TXN-6023,2026-09-04 15:54:00,18550.62,SETTLED,ICICI45819351
STL-7024,TXN-6024,2026-09-04 16:12:00,2499.0,SETTLED,HDFC20392783
STL-7025,TXN-6025,2026-09-04 16:30:00,1463.62,SETTLED,ICICI92634449
STL-7026,TXN-6026,2026-09-04 16:48:00,8990.0,SETTLED,HDFC76629391
STL-7027,TXN-6027,2026-09-04 17:06:00,2499.0,SETTLED,HDFC74013897
STL-7028,TXN-6028,2026-09-04 17:24:00,12499.0,SETTLED,HDFC13611841
STL-7029,TXN-6029,2026-09-04 17:42:00,24409.02,SETTLED,ICICI90093505
STL-7030,TXN-6030,2026-09-04 18:00:00,8990.0,SETTLED,HDFC81250100
STL-7031,TXN-6031,2026-09-04 18:18:00,4999.0,SETTLED,HDFC60424458
STL-7032,TXN-6032,2026-09-04 18:36:00,24999.0,SETTLED,HDFC37460741
STL-7033,TXN-6033,2026-09-04 18:54:00,2499.0,SETTLED,HDFC96097992
STL-7034,TXN-6034,2026-09-04 19:12:00,18999.0,SETTLED,HDFC75281165
STL-7037,TXN-6037,2026-09-04 20:06:00,24999.0,SETTLED,HDFC51633439
STL-7038,TXN-6038,2026-09-04 20:24:00,1499.0,SETTLED,HDFC98489340
STL-7039,TXN-6039,2026-09-04 20:42:00,24999.0,SETTLED,HDFC30043134
STL-7040,TXN-6040,2026-09-04 21:00:00,18999.0,SETTLED,HDFC20572985
STL-7041,TXN-6041,2026-09-04 21:18:00,12499.0,SETTLED,HDFC65569820
STL-7042,TXN-6042,2026-09-04 21:36:00,18999.0,SETTLED,HDFC73413152
STL-7043,TXN-6043,2026-09-04 21:54:00,12499.0,SETTLED,HDFC71222149
STL-7045,TXN-6045,2026-09-04 22:30:00,1499.0,SETTLED,HDFC57734823
STL-7046,TXN-6046,2026-09-04 22:48:00,1463.62,SETTLED,ICICI76092672
STL-7047,TXN-6047,2026-09-04 23:06:00,8777.84,SETTLED,ICICI34439579
STL-7048,TXN-6048,2026-09-04 23:24:00,1499.0,SETTLED,HDFC50644862
STL-7049,TXN-6049,2026-09-04 23:42:00,18999.0,SETTLED,HDFC74133375
STL-7050,TXN-6050,2026-09-05 00:00:00,18999.0,SETTLED,HDFC27228070
