order_id,expected_status,expected_difference
ORD-SEP-1001,MATCHED,0.0
ORD-SEP-1002,MATCHED,0.0
ORD-SEP-1003,MATCHED,0.0
ORD-SEP-1004,MATCHED,0.0
ORD-SEP-1005,MATCHED,0.0
ORD-SEP-1006,MATCHED,0.0
ORD-SEP-1007,MATCHED,0.0
ORD-SEP-1008,MATCHED,0.0
ORD-SEP-1009,MATCHED,0.0
ORD-SEP-1010,MATCHED,0.0
ORD-SEP-1011,MATCHED,0.0
ORD-SEP-1012,MATCHED,0.0
ORD-SEP-1013,MATCHED,0.0
ORD-SEP-1014,MATCHED,0.0
ORD-SEP-1015,MATCHED,0.0
ORD-SEP-1016,MATCHED,0.0
ORD-SEP-1017,MATCHED,0.0
ORD-SEP-1018,MATCHED,0.0
ORD-SEP-1019,MATCHED,0.0
ORD-SEP-1020,MATCHED,0.0
ORD-SEP-1021,MATCHED,0.0
ORD-SEP-1022,MATCHED,0.0
ORD-SEP-1023,MATCHED,0.0
ORD-SEP-1024,MATCHED,0.0
ORD-SEP-1025,MATCHED,0.0
ORD-SEP-1026,MATCHED,0.0
ORD-SEP-1027,MATCHED,0.0
ORD-SEP-1028,MATCHED,0.0
ORD-SEP-1029,MATCHED,0.0
ORD-SEP-1030,MATCHED,0.0
ORD-SEP-1031,MATCHED,0.0
ORD-SEP-1032,MATCHED,0.0
ORD-SEP-1033,MATCHED,0.0
ORD-SEP-1034,MATCHED,0.0
ORD-SEP-1035,MATCHED,0.0
ORD-SEP-1036,MATCHED,0.0
ORD-SEP-1037,MATCHED,0.0
ORD-SEP-1038,MATCHED,0.0
ORD-SEP-1039,MATCHED,0.0
ORD-SEP-1040,MATCHED,0.0
ORD-SEP-1041,MATCHED,0.0
ORD-SEP-1042,MATCHED,0.0
ORD-SEP-1043,MATCHED,0.0
ORD-SEP-1044,MATCHED,0.0
ORD-SEP-1045,MATCHED,0.0
ORD-SEP-1046,MATCHED,0.0
ORD-SEP-1047,MATCHED,0.0
ORD-SEP-1048,MATCHED,0.0
ORD-SEP-1049,MATCHED,0.0
ORD-SEP-1050,MATCHED,0.0
ORD-SEP-1051,MATCHED,0.0
ORD-SEP-1052,MATCHED,0.0
ORD-SEP-1053,MATCHED,0.0
ORD-SEP-1054,MATCHED,0.0
ORD-SEP-1055,MATCHED,0.0
ORD-SEP-1056,MATCHED,0.0
ORD-SEP-1057,MATCHED,0.0
ORD-SEP-1058,MATCHED,0.0
ORD-SEP-1059,MATCHED,0.0
ORD-SEP-1060,MATCHED,0.0
ORD-SEP-1061,MATCHED,0.0
ORD-SEP-1062,MATCHED,0.0
ORD-SEP-1063,MATCHED,0.0
ORD-SEP-1064,MATCHED,0.0
ORD-SEP-1065,MATCHED,0.0
ORD-SEP-1066,AMOUNT_MISMATCH,29.5
ORD-SEP-1067,AMOUNT_MISMATCH,304.44
ORD-SEP-1068,AMOUNT_MISMATCH,578.2
ORD-SEP-1069,AMOUNT_MISMATCH,1132.8
ORD-SEP-1070,AMOUNT_MISMATCH,29.5
ORD-SEP-1071,AMOUNT_MISMATCH,304.44
ORD-SEP-1072,AMOUNT_MISMATCH,304.44
ORD-SEP-1073,AMOUNT_MISMATCH,29.5
ORD-SEP-1074,AMOUNT_MISMATCH,578.2
ORD-SEP-1075,AMOUNT_MISMATCH,578.2
ORD-SEP-1076,MISSING_PAYMENT,5499.0
ORD-SEP-1077,MISSING_PAYMENT,499.0
ORD-SEP-1078,MISSING_PAYMENT,499.0
ORD-SEP-1079,MISSING_PAYMENT,12900.0
ORD-SEP-1080,MISSING_PAYMENT,12900.0
ORD-SEP-1081,MISSING_PAYMENT,499.0
ORD-SEP-1082,MISSING_PAYMENT,1250.0
ORD-SEP-1083,MISSING_PAYMENT,48000.0
ORD-SEP-1084,MISSING_PAYMENT,12900.0
ORD-SEP-1085,MISSING_PAYMENT,24500.0
ORD-SEP-1086,MISSING_SETTLEMENT,12900.0
ORD-SEP-1087,MISSING_SETTLEMENT,1250.0
ORD-SEP-1088,MISSING_SETTLEMENT,48000.0
ORD-SEP-1089,MISSING_SETTLEMENT,499.0
ORD-SEP-1090,MISSING_SETTLEMENT,2999.0
ORD-SEP-1091,MISSING_SETTLEMENT,5499.0
ORD-SEP-1092,MISSING_SETTLEMENT,24500.0
ORD-SEP-1093,MISSING_SETTLEMENT,499.0
ORD-SEP-1094,MATCHED,0.0
ORD-SEP-1095,MATCHED,0.0
ORD-SEP-1096,MATCHED,0.0
ORD-SEP-1097,MATCHED,0.0
ORD-SEP-1098,MATCHED,0.0
ORD-SEP-1099,DUPLICATE,5499.0
ORD-SEP-1100,DUPLICATE,499.0
