transaction_id,order_id,paid_amount,payment_status,payment_method,payment_date
pay_SEP20001,ORD-SEP-1001,499.0,captured,UPI,2026-09-01 10:35:12
pay_SEP20002,ORD-SEP-1002,1250.0,captured,DEBIT_CARD,2026-09-01 11:10:12
pay_SEP20003,ORD-SEP-1003,24500.0,captured,CREDIT_CARD,2026-09-01 11:45:12
pay_SEP20004,ORD-SEP-1004,12900.0,captured,UPI,2026-09-01 12:20:12
pay_SEP20005,ORD-SEP-1005,499.0,captured,UPI,2026-09-01 12:55:12
pay_SEP20006,ORD-SEP-1006,1250.0,captured,CREDIT_CARD,2026-09-01 13:30:12
pay_SEP20007,ORD-SEP-1007,12900.0,captured,UPI,2026-09-01 14:05:12
pay_SEP20008,ORD-SEP-1008,1250.0,captured,NETBANKING,2026-09-01 14:40:12
pay_SEP20009,ORD-SEP-1009,48000.0,captured,DEBIT_CARD,2026-09-01 15:15:12
pay_SEP20010,ORD-SEP-1010,48000.0,captured,UPI,2026-09-01 15:50:12
pay_SEP20011,ORD-SEP-1011,24500.0,captured,CREDIT_CARD,2026-09-01 16:25:12
pay_SEP20012,ORD-SEP-1012,2999.0,captured,DEBIT_CARD,2026-09-01 17:00:12
pay_SEP20013,ORD-SEP-1013,48000.0,captured,CREDIT_CARD,2026-09-01 17:35:12
pay_SEP20014,ORD-SEP-1014,499.0,captured,UPI,2026-09-01 18:10:12
pay_SEP20015,ORD-SEP-1015,2999.0,captured,UPI,2026-09-01 18:45:12
pay_SEP20016,ORD-SEP-1016,12900.0,captured,DEBIT_CARD,2026-09-01 19:20:12
pay_SEP20017,ORD-SEP-1017,24500.0,captured,UPI,2026-09-01 19:55:12
pay_SEP20018,ORD-SEP-1018,5499.0,captured,UPI,2026-09-01 20:30:12
pay_SEP20019,ORD-SEP-1019,48000.0,captured,DEBIT_CARD,2026-09-01 21:05:12
pay_SEP20020,ORD-SEP-1020,12900.0,captured,DEBIT_CARD,2026-09-01 21:40:12
pay_SEP20021,ORD-SEP-1021,499.0,captured,UPI,2026-09-01 22:15:12
pay_SEP20022,ORD-SEP-1022,48000.0,captured,CREDIT_CARD,2026-09-01 22:50:12
pay_SEP20023,ORD-SEP-1023,48000.0,captured,UPI,2026-09-01 23:25:12
pay_SEP20024,ORD-SEP-1024,5499.0,captured,UPI,2026-09-02 00:00:12
pay_SEP20025,ORD-SEP-1025,24500.0,captured,NETBANKING,2026-09-02 00:35:12
pay_SEP20026,ORD-SEP-1026,1250.0,captured,DEBIT_CARD,2026-09-02 01:10:12
pay_SEP20027,ORD-SEP-1027,1250.0,captured,DEBIT_CARD,2026-09-02 01:45:12
pay_SEP20028,ORD-SEP-1028,24500.0,captured,DEBIT_CARD,2026-09-02 02:20:12
pay_SEP20029,ORD-SEP-1029,12900.0,captured,UPI,2026-09-02 02:55:12
pay_SEP20030,ORD-SEP-1030,12900.0,captured,CREDIT_CARD,2026-09-02 03:30:12
pay_SEP20031,ORD-SEP-1031,1250.0,captured,CREDIT_CARD,2026-09-02 04:05:12
pay_SEP20032,ORD-SEP-1032,2999.0,captured,NETBANKING,2026-09-02 04:40:12
pay_SEP20033,ORD-SEP-1033,24500.0,captured,CREDIT_CARD,2026-09-02 05:15:12
pay_SEP20034,ORD-SEP-1034,1250.0,captured,UPI,2026-09-02 05:50:12
pay_SEP20035,ORD-SEP-1035,48000.0,captured,UPI,2026-09-02 06:25:12
pay_SEP20036,ORD-SEP-1036,2999.0,captured,NETBANKING,2026-09-02 07:00:12
pay_SEP20037,ORD-SEP-1037,12900.0,captured,CREDIT_CARD,2026-09-02 07:35:12
pay_SEP20038,ORD-SEP-1038,1250.0,captured,DEBIT_CARD,2026-09-02 08:10:12
pay_SEP20039,ORD-SEP-1039,5499.0,captured,NETBANKING,2026-09-02 08:45:12
pay_SEP20040,ORD-SEP-1040,1250.0,captured,NETBANKING,2026-09-02 09:20:12
pay_SEP20041,ORD-SEP-1041,1250.0,captured,CREDIT_CARD,2026-09-02 09:55:12
pay_SEP20042,ORD-SEP-1042,24500.0,captured,DEBIT_CARD,2026-09-02 10:30:12
pay_SEP20043,ORD-SEP-1043,12900.0,captured,NETBANKING,2026-09-02 11:05:12
pay_SEP20044,ORD-SEP-1044,1250.0,captured,DEBIT_CARD,2026-09-02 11:40:12
pay_SEP20045,ORD-SEP-1045,499.0,captured,NETBANKING,2026-09-02 12:15:12
pay_SEP20046,ORD-SEP-1046,48000.0,captured,UPI,2026-09-02 12:50:12
pay_SEP20047,ORD-SEP-1047,24500.0,captured,CREDIT_CARD,2026-09-02 13:25:12
pay_SEP20048,ORD-SEP-1048,12900.0,captured,NETBANKING,2026-09-02 14:00:12
pay_SEP20049,ORD-SEP-1049,5499.0,captured,NETBANKING,2026-09-02 14:35:12
pay_SEP20050,ORD-SEP-1050,12900.0,captured,NETBANKING,2026-09-02 15:10:12
pay_SEP20051,ORD-SEP-1051,24500.0,captured,UPI,2026-09-02 15:45:12
pay_SEP20052,ORD-SEP-1052,24500.0,captured,UPI,2026-09-02 16:20:12
pay_SEP20053,ORD-SEP-1053,48000.0,captured,DEBIT_CARD,2026-09-02 16:55:12
pay_SEP20054,ORD-SEP-1054,499.0,captured,DEBIT_CARD,2026-09-02 17:30:12
pay_SEP20055,ORD-SEP-1055,1250.0,captured,NETBANKING,2026-09-02 18:05:12
pay_SEP20056,ORD-SEP-1056,24500.0,captured,UPI,2026-09-02 18:40:12
pay_SEP20057,ORD-SEP-1057,12900.0,captured,DEBIT_CARD,2026-09-02 19:15:12
pay_SEP20058,ORD-SEP-1058,12900.0,captured,CREDIT_CARD,2026-09-02 19:50:12
pay_SEP20059,ORD-SEP-1059,48000.0,captured,UPI,2026-09-02 20:25:12
pay_SEP20060,ORD-SEP-1060,48000.0,captured,DEBIT_CARD,2026-09-02 21:00:12
pay_SEP20061,ORD-SEP-1061,1250.0,captured,CREDIT_CARD,2026-09-02 21:35:12
pay_SEP20062,ORD-SEP-1062,12900.0,captured,CREDIT_CARD,2026-09-02 22:10:12
pay_SEP20063,ORD-SEP-1063,12900.0,captured,UPI,2026-09-02 22:45:12
pay_SEP20064,ORD-SEP-1064,499.0,captured,NETBANKING,2026-09-02 23:20:12
pay_SEP20065,ORD-SEP-1065,48000.0,captured,DEBIT_CARD,2026-09-02 23:55:12
pay_SEP20066,ORD-SEP-1066,1250.0,captured,DEBIT_CARD,2026-09-03 00:30:15
pay_SEP20067,ORD-SEP-1067,12900.0,captured,CREDIT_CARD,2026-09-03 01:05:15
pay_SEP20068,ORD-SEP-1068,24500.0,captured,UPI,2026-09-03 01:40:15
pay_SEP20069,ORD-SEP-1069,48000.0,captured,UPI,2026-09-03 02:15:15
pay_SEP20070,ORD-SEP-1070,1250.0,captured,CREDIT_CARD,2026-09-03 02:50:15
pay_SEP20071,ORD-SEP-1071,12900.0,captured,NETBANKING,2026-09-03 03:25:15
pay_SEP20072,ORD-SEP-1072,12900.0,captured,DEBIT_CARD,2026-09-03 04:00:15
pay_SEP20073,ORD-SEP-1073,1250.0,captured,NETBANKING,2026-09-03 04:35:15
