settlement_id,transaction_id,settled_amount,bank_reference,settlement_date
SETTLE-SEP-30001,pay_SEP20001,499.0,UTR998840001,2026-09-02 10:35:00
SETTLE-SEP-30002,pay_SEP20002,1250.0,UTR998840002,2026-09-02 11:10:00
SETTLE-SEP-30003,pay_SEP20003,24500.0,UTR998840003,2026-09-02 11:45:00
SETTLE-SEP-30004,pay_SEP20004,12900.0,UTR998840004,2026-09-02 12:20:00
SETTLE-SEP-30005,pay_SEP20005,499.0,UTR998840005,2026-09-02 12:55:00
SETTLE-SEP-30006,pay_SEP20006,1250.0,UTR998840006,2026-09-02 13:30:00
SETTLE-SEP-30007,pay_SEP20007,12900.0,UTR998840007,2026-09-02 14:05:00
SETTLE-SEP-30008,pay_SEP20008,1250.0,UTR998840008,2026-09-02 14:40:00
SETTLE-SEP-30009,pay_SEP20009,48000.0,UTR998840009,2026-09-02 15:15:00
SETTLE-SEP-30010,pay_SEP20010,48000.0,UTR998840010,2026-09-02 15:50:00
SETTLE-SEP-30011,pay_SEP20011,24500.0,UTR998840011,2026-09-02 16:25:00
SETTLE-SEP-30012,pay_SEP20012,2999.0,UTR998840012,2026-09-02 17:00:00
SETTLE-SEP-30013,pay_SEP20013,48000.0,UTR998840013,2026-09-02 17:35:00
SETTLE-SEP-30014,pay_SEP20014,499.0,UTR998840014,2026-09-02 18:10:00
SETTLE-SEP-30015,pay_SEP20015,2999.0,UTR998840015,2026-09-02 18:45:00
SETTLE-SEP-30016,pay_SEP20016,12900.0,UTR998840016,2026-09-02 19:20:00
SETTLE-SEP-30017,pay_SEP20017,24500.0,UTR998840017,2026-09-02 19:55:00
SETTLE-SEP-30018,pay_SEP20018,5499.0,UTR998840018,2026-09-02 20:30:00
SETTLE-SEP-30019,pay_SEP20019,48000.0,UTR998840019,2026-09-02 21:05:00
SETTLE-SEP-30020,pay_SEP20020,12900.0,UTR998840020,2026-09-02 21:40:00
SETTLE-SEP-30021,pay_SEP20021,499.0,UTR998840021,2026-09-02 22:15:00
SETTLE-SEP-30022,pay_SEP20022,48000.0,UTR998840022,2026-09-02 22:50:00
SETTLE-SEP-30023,pay_SEP20023,48000.0,UTR998840023,2026-09-02 23:25:00
SETTLE-SEP-30024,pay_SEP20024,5499.0,UTR998840024,2026-09-03 00:00:00
SETTLE-SEP-30025,pay_SEP20025,24500.0,UTR998840025,2026-09-03 00:35:00
